Date,Open*,High,Low,Close**,Volume,Market Cap
"Aug 09, 2019",11953.47,11970.46,11709.75,11862.94,18339989960,2.11961E+11
"Aug 08, 2019",11954.04,11979.42,11556.17,11966.41,19481591730,2.13788E+11
"Aug 07, 2019",11476.19,12036.99,11433.7,11941.97,22194988641,2.1333E+11
"Aug 06, 2019",11811.55,12273.82,11290.73,11478.17,23635107660,2.05023E+11
"Aug 05, 2019",10960.74,11895.09,10960.74,11805.65,23875988832,2.10849E+11
"Aug 04, 2019",10821.63,11009.21,10620.28,10970.18,16530894787,1.95908E+11
"Aug 03, 2019",10519.28,10946.78,10503.5,10821.73,15352685061,1.93234E+11
"Aug 02, 2019",10402.04,10657.95,10371.01,10518.17,17489094082,1.87791E+11
"Aug 01, 2019",10077.44,10446.92,9922.02,10399.67,17165337858,1.85653E+11
"Jul 31, 2019",9604.05,10085.63,9598.1,10085.63,16631520648,1.80029E+11
"Jul 30, 2019",9522.33,9701.76,9437.34,9607.42,13829811132,1.71472E+11
"Jul 29, 2019",9548.18,9681.65,9472.95,9519.15,13791445323,1.6988E+11
"Jul 28, 2019",9491.63,9575.55,9252.3,9552.86,13738687093,1.70462E+11
"Jul 27, 2019",9871.16,10167.32,9411.52,9477.68,16817809536,1.691E+11
"Jul 26, 2019",9913.13,9916.52,9717.98,9870.3,14495714483,1.76086E+11
"Jul 25, 2019",9809.1,10154.25,9773.96,9911.84,15821952091,1.76806E+11
"Jul 24, 2019",9887.73,9908.8,9614.31,9811.93,17398734322,1.75006E+11
"Jul 23, 2019",10346.75,10346.75,9883.6,9900.77,17851916995,1.76573E+11
"Jul 22, 2019",10596.95,10651.79,10154.92,10343.11,16334414913,1.84443E+11
"Jul 21, 2019",10777.53,10841.89,10389.6,10599.11,17130580467,1.88987E+11
"Jul 20, 2019",10525.82,11048.66,10451.28,10767.14,20206615155,1.91964E+11
"Jul 19, 2019",10653.96,10716.98,10229.63,10530.73,20727426310,1.87726E+11
"Jul 18, 2019",9698.5,10736.84,9376.8,10666.48,25187024648,1.9013E+11
"Jul 17, 2019",9471.21,9963.13,9163.13,9693.8,24569921549,1.72777E+11
"Jul 16, 2019",10896.65,10996.63,9448.11,9477.64,24151199070,1.68909E+11
"Jul 15, 2019",10257.84,11052.77,9992.01,10895.09,25384047207,1.94148E+11
"Jul 14, 2019",11381.02,11451.2,10234.58,10256.06,22486000001,1.82742E+11
"Jul 13, 2019",11813.13,11841.96,10908.48,11392.38,21042616384,2.02968E+11
"Jul 12, 2019",11354.3,11905.49,11179.14,11815.99,23534692797,2.10494E+11
"Jul 11, 2019",12139.71,12144.62,11158.92,11358.66,28595327690,2.02324E+11
"Jul 10, 2019",12571.54,13129.53,11710.98,12156.51,33627574244,2.16516E+11
"Jul 09, 2019",12284.33,12779.13,12233.26,12573.81,28167921523,2.23928E+11
"Jul 08, 2019",11446.6,12345.83,11393.37,12285.96,23482551458,2.18778E+11
"Jul 07, 2019",11217.62,11541.62,11148.8,11450.85,19369044277,2.03882E+11
"Jul 06, 2019",10982.54,11620.97,10982.54,11208.55,21092024306,1.99546E+11
"Jul 05, 2019",11203.1,11395.66,10874.96,10978.46,23838480210,1.95425E+11
"Jul 04, 2019",11972.72,12006.08,11166.57,11215.44,25920294033,1.99617E+11
"Jul 03, 2019",10818.16,11968.08,10818.16,11961.27,30796494294,2.12867E+11
"Jul 02, 2019",10588.68,10912.19,9737.88,10801.68,31015895223,1.92207E+11
"Jul 01, 2019",10796.93,11206.44,10089.31,10583.13,29378589324,1.88298E+11
"Jun 30, 2019",11931.99,12178.38,10799.01,10817.16,27256473495,1.92442E+11
"Jun 29, 2019",12400.76,12400.91,11508.38,11959.37,29923961128,2.1274E+11
"Jun 28, 2019",11162.17,12445.18,10914.49,12407.33,35087757766,2.20681E+11
"Jun 27, 2019",13017.12,13311.14,10491.85,11182.81,39977475223,1.98879E+11
"Jun 26, 2019",11778.58,13796.49,11755.6,13016.23,45105733173,2.31462E+11
"Jun 25, 2019",11007.2,11790.92,11007.2,11790.92,24879684533,2.09648E+11
"Jun 24, 2019",10853.74,11065.9,10610.43,11011.1,19271652365,1.95763E+11
"Jun 23, 2019",10696.69,11246.14,10556.1,10855.37,20998326502,1.9297E+11
"Jun 22, 2019",10175.92,11157.35,10107.04,10701.69,29995204861,1.90214E+11
"Jun 21, 2019",9525.07,10144.56,9525.07,10144.56,20624008643,1.80293E+11
"Jun 20, 2019",9273.06,9594.42,9232.48,9527.16,17846823784,1.69305E+11
"Jun 19, 2019",9078.73,9299.62,9070.4,9273.52,15546809946,1.64781E+11
"Jun 18, 2019",9335.47,9348.37,9004.9,9081.76,15848210536,1.61354E+11
"Jun 17, 2019",8988.92,9416.41,8988.92,9320.35,15562951919,1.65573E+11
"Jun 16, 2019",8841.44,9335.87,8814.56,8994.49,23348550311,1.59769E+11
"Jun 15, 2019",8689.75,8859.13,8618.4,8838.38,18371033227,1.56982E+11
"Jun 14, 2019",8230.9,8710.64,8183.39,8693.83,19831162906,1.54399E+11
"Jun 13, 2019",8145.55,8311.57,8087.06,8230.92,18669407147,1.4616E+11
"Jun 12, 2019",7925.43,8196.65,7862.36,8145.86,19034432883,1.44635E+11
"Jun 11, 2019",8004.24,8026.39,7772.8,7927.71,17107279932,1.40749E+11
